sujeto_pasivo,fecha,duracion_minutos,lugar,materia,asistentes,representado
"Moreira Barros, Iván",2015-07-17,60,Oficina Parlamentaria,Proyecto Ley Boletin 10191-11,"bustamante contreras, luis; Barria, Yessica",Asoc. de enfermeras (0) hospital de Castro
"Pérez Varela, Víctor",2015-07-17,35,Oficina Parlamentaria,Dictamen 46357 emitido por la Contraloría General de la República con fecha 10 de junio de 2015,"Jure Cares, Lucy",Colegio de Enfemeras de Chile A.G
"Pérez Varela, Víctor",2015-07-17,80,Oficina Parlamentaria,"Proyecto de Ley que fortalece la profesionalización de funcionarios municipales, Provincial Bío Bío. Asisten representantes de las Comunas  de Nacimiento, Santa Bárbara, Quilleco, Cabrero, Mulchén y Tomé","LEON REBOLLEDO, EDITH",Federación
"Pérez Varela, Víctor",2015-07-17,20,Oficina Parlamentaria,Problema con Mutual de Seguridad,"Torres Gatica, Miguel Angel",Cerix Seguridad Ltda.
"Moreira Barros, Iván",2015-07-15,120,senado de la republica,Dictamen N° 516383 de la Dirección Nacional del Trabajo que regula a los trabajadores embarcados que operan en aguas interiores de las regiones de los Lagos; Aysén; y Magallanes,"caceres maldonado, pedro",fesimar
"Lagos Weber, Ricardo",2015-07-15,45,Ex Congreso,"Presentan perspectiva de las diversas organizaciones que representan sobre proyecto Terminal 2, dando a conocer los principales argumentos contra su ejecución","Reyes Stevens, Claudio; Ilabaca Astorga, Gonzalo; Meza Figueroa, Marco","Pacto Urbano La Matriz, Frente Amplio por Valparaíso"
"Quinteros Lara, Rabindranath",2015-07-15,20,Pedro Montt s/n,Condiciones laborales marina mercante,"BUSTAMANTE HERREROS, JULIO JOSE; BRiNDLEY MARTINS, DAVID MICHAEL; SILVA AVARIA, DOMINGO",INTERNATIONAL SHIP MANAGEMENT AGENCY LIMITADA
"Goic Boroevic, Carolina",2015-07-14,20,Oficina de la Senadora en Congreso en Valparaíso,"Audiencia fue atendida por la Jefa de Gabinete, doña Claudia Silva. Relatan experiencia en programa de acompañamiento a mujeres con riesgo de aborto. Solicitan considerar su experiencia en discusión en el Senado del proyecto de ley sobre interrupción del embarazo.","Hoffmann Cerda, María Verónica; Reyes Silva, Maria Victoria",Fundación Chile Unido
"Goic Boroevic, Carolina",2015-07-14,20,Oficina de la Senadora en el Congreso en Valparaíso,"Audiencia fue atendida por el asesor legislativo, don Gerardo Bascuñán. Solicita modificación del artículo 26 del proyecto de ley que crea Comisión de Valores y Seguros (Boletín N°9015-05), con el objeto de establecer expresamente materias mínimas que deberán ser reguladas por el Estatuto del Personal al que se refiere la norma.","JIMENEZ CONTRERAS, MARIA ANGELICA",Asociacion de Funcionarios
"Pérez San Martín, Lily",2015-07-14,60,Senado Valparaíso,Proyecto de transmisión eléctrica Cardones-Polpaico y su trazado en la V Región,"Correa González, Tomás; Rodriguez, Jorge; Arias Filippi, Cristian",Interchile S.A
"Guillier Álvarez, Alejandro",2015-07-13,90,"Badajoz 130, Oficina 803",Temas de industria minera,"Luis Lizama Portal, Luis Lizama Portal; Garib, Ricardo; Mergudich, Ivan; Barra, Ingrid; Aguirre, Andrés; Olivares, Juan Carlos",Asociación de Proveedores Industriales de la Minería
"García Huidobro Sanfuentes, Alejandro",2015-07-13,45,MORANDE 441,ESTRATEGIA ENERGETICA DEL PAIS,"Schaeffer Fabres, Juan Pablo; Keller Lippold, Thomas",COLBUN S..A
"Van Rysselberghe Herrera, Jacqueline",2015-07-13,70,"Sede parlamentaria, Angol N° 365",Presentar propuesta de la ADIPROT sobre proyecto de Ley de mejoras y fortalecimiento de la gestión y profesionalización del personal municipal.,"LOBOS MUÑOZ, PABLO; HERMOSILLA SANDOVAL, JUAN HIGINIO; chamorro, Victor","ASOC. DE FUNCIONARIOS DORECTIVOS, PROFESIONALES, Y TECNICOS DE LA I. MUNICIP. CONCEPCION"
"Ossandón Irarrázabal, Manuel José",2015-07-13,60,Oficina Senador Ex Congreso - Morandé 441,REUNION CANCELADA POR EL INTERESADO POR NO PODER VIAJAR A LA REUNION.,"lucero, leonel alejandro",ASOCIACION GREMIAL DE EMPRESARIOS PESQUEROS DE LEBU
"Ossandón Irarrázabal, Manuel José",2015-07-13,45,Oficina Senador Ex Congreso - Morandé 441,Se escucharon las preocupaciones de la Asociación con motivo de la Reforma Laboral.,"Del Solar Agüero, Felipe; Gutiérrez, Pablo; Clavero, René; Alvo, Roberto",Asociación Gremial
"García Huidobro Sanfuentes, Alejandro",2015-07-13,45,Morandé 441 ex Congreso Ncional,Realización proyecto estatal transmisión eléctrica Cardones- Polpaico,"Rodriguez, Jorge",Interchile S.A.
"Huerta Estrada, José Alejandro",2015-07-13,45,Oficina Senador Ex Congreso - Morandé 441,Otorgar antecedentes para PL que modifica la ley 20.243 y que otorga el derecho a percibir una remuneración a los directores y guinistas por sus obras audiovisuales.,"Yuraszeck Peñaranda, Nicolás Felipe",Google
"Pérez Varela, Víctor",2015-07-10,60,Oficina parlamentaria,problema de construcción de viviendas y sistema de transporte,"Arias Molina, Luz María",organización comunitaria
"Lagos Weber, Ricardo",2015-07-10,30,Ex Senado,Exponen inquietudes sobre reforma laboral,"Del Solar Agüero, Felipe; Gutiérrez, Pablo; Clavero, René; Alvo, Roberto",Asociación Gremial
"Lagos Weber, Ricardo",2015-07-10,30,Ex Congreso,Presentan documento con observaciones al proyecto que crea la Comisión de Valores,"JIMENEZ CONTRERAS, MARIA ANGELICA; Pino Torres, Héctor; Morán Alvarez, José",Asociacion de Funcionarios
"Walker Prieto, Ignacio",2015-07-09,60,"OFICINAS CAMARA CHILENA, Marchant Pereira Nº 10, Piso 3, Providencia",Temas Relacionados a Ley de Urbanismo,"SCIARAFFIA, MURIEL; Mas Figueroa, Jorge; Donoso Tagle, Patricio 10.784.960-2; CAVAGNARO SANTA MARIA, SERGIO; HURTADO, JAVIER; Alvarez, Pablo; Vildosola, Gabriel; Bustos, Gonzalo",Cámara Chilena de la Construcción
"Montes Cisternas, Carlos",2015-07-09,40,Ex Congreso,Situación laboral del sector y reforma laboral.,"reyes avalos, anthony andres",sindicato
"Montes Cisternas, Carlos",2015-07-09,40,Ex Congreso,Posición de los funcionarios respecto de eventuales modificaciones legales que les afectan.,"Bravo Muñoz, Manuel; Troncoso Lagos, Juana; Riveros Altamirano, Juan",Asociación de Funcionarios Municipales de La Granja
"Walker Prieto, Patricio",2015-07-09,30,Presidencia Senado Santiago,"Proyecto de ley Responsabilidad Extendida del productor, Boletín N° 9094-12","Puga Vergara, Ricardo; Hepp Kuschel, Ricardo Guillermo; Moreno Guzmán, Francisco; Caviedes, Alvaro ; Díaz Cauquelin, Juan Jaime",Asociación Nacional de la Prensa A.G.
"Tuma Zedán, Eugenio",2015-07-09,60,Ex Congreso Nacional,PROYECTOS DE LEY DE INTERES PARA LA INDUSTRIA -MEDIOS DE PAGO ELECTRÓNICOS -PROTECCION DE DATOS PERSONALES -FORTALECIMIENTO DEL SERNAC,"Ortiz Tello, Raul Claudio; Escalona, Eduardo",COMITE RETAIL FINANCIERO DE LA CAMARA DE COMERCIO DE SANTIAGO
"Lagos Weber, Ricardo",2015-07-08,30,Senado,Impacto de escasez hídrica en la entrega del suministro en Valparaíso,"Murillo Collado, Jose Luis; Vergara Castillo, Cristian; Droguett Orellana, Walter",Esval
"Chahuán Chahuán, Francisco",2015-07-08,20,Oficina Senador Congreso Nacional,Posturas del Gremio sobre Reforma Laboral,"Salazar Gambi, Irene",Asociación de Agricultores de las Provincias de Quillota y Marga Marga A. G.
"García Huidobro Sanfuentes, Alejandro",2015-07-08,1,Congreso Nacional Valparaíso,necesidades de infraestructura y elementos de las Escuelas Especiales,"Crovari Eulufi, Claudia; Escobar López, Oriana; Diaz Bustamante, Jorge; Alvarez Castro, Soledad",Colegio de audición y lenguaje San Gaspar
"García Huidobro Sanfuentes, Alejandro",2015-07-08,45,Comite piso 8 Senado,"Miembros del movimiento de Educación diferencial transversal que agrupa a docentes y otros actores de la educación especial, participan Senador García Huidobro, y Diputados Sra. Von Baer,  Macaya y Bellolio","Diaz Bustamante, Jorge; Crovari Eulufi, Claudia; Escobar López, Oriana; Alvarez Castro, Soledad",Agrupacion docentes comuna San Fernando
"Guillier Álvarez, Alejandro",2015-07-08,30,Congreso Nacional,Proyecto de ley de reestructuración de las plantas y estudio de creación del servicio de reinserción social de gendarmería de Chile.,"SÁEZ ACUÑA, OCTAVIO ISAIAS; MILLA AGUILAR, DAVID FERNANDO; DROGUETT VALENZUELA, MAURICIO HERMAN; ORTIZ BUGUEÑO, JORGE ALBERTO",aASOCIACION DE PROFESIONALES TECNICOS Y ADMINISTRATIVOS DE GENDARMERIA
"Harboe Bascuñán, Felipe",2015-07-08,30,Senado Valparaíso,"Estatuto carrera funcionaria asistentes de la educación y; desmunicipalización; nueva administración Servicios Locales de Educación. Miércoles 8 de julio a las 13:00 horas, Senado Valparaíso.","cares, carmen; campos rubilar, renzo; Rebolledo, Luis; Burgos, Hector; Seguel, Monica",bienestar social
"García Ruminot, José",2015-07-08,30,"Oficina Senador, Congreso Nacional, Valparaíso","Solicitaron audiencia para tratar: Proyecto de Ley que concede beneficios al personal de atención primaria de salud Boletín 9973-11. Al ser despachado por la comisión el día anterior, solicitaron mantener la audiencia y se refirieron a: Incentivo al retiro para personal de Atención Primaria de la Salud.","Pérez Morales, Lorena; Yevenes Navarrete, Victor; Rodríguez Barría, José Guillermo; González Bustamante, uan Adrian",Gremio
"Walker Prieto, Ignacio",2015-07-08,30,SENADO VALPARAISO,PRESENTAR PROPUESTA A LAS SOLUCIONES AMBIENTALES DE LA EMPRESA,"Dumont Arenas, Jorge Aquiles; Enriquez Fuentes, Jorge Andres",Sopraval SA.
"Chahuán Chahuán, Francisco",2015-07-07,20,Oficina Senador Congreso Nacional Valparaiso,Reforma Laboral.,"Gutiérrez, Pablo; Clavero, René; Del Solar Agüero, Felipe",Asociación Gremial
"Lagos Weber, Ricardo",2015-07-07,30,Senado,Exponen proyectos y perspectiva de la corporación sobre el desarrollo de barrio puerto,"Bravo Alvarez, Gonzalo; Ortega Ortega, Christian; Cárdenas Almonacid, Washington",Organización No Gubernamental de Desarrollo La Matriz
"Coloma Correa, Juan Antonio",2015-07-07,20,Oficina Senado,Quisiera poder reunirnos con usted para plantearle nuestra inquietud respecto de los posibles efectos que podrían tener algunos aspectos de la reforma laboral a la hora de asegurar la continuidad de tratamiento de los pacientes que requieren de diálisis.,"Del Solar Agüero, Felipe; Gutiérrez, Pablo; Clavero, René",Asociación Gremial
"De Urresti Longton, Alfonso",2015-07-07,30,Oficina del senador en el Congreso Nacional,Proyecto de Conservación Marina en Chile.,"Guala Catalán, Cesar Alejandro; Owen, Emily; Rand, Matthew",The Pew Charitable Trusts
"Zaldívar Larraín, Andrés",2015-07-06,40,Morande 441,Proyecto de Ley sobre Reforma Laboral,"ALVEAR, FERNANDO ; Salas Muñoz, Alberto",CONFEDERACIÓN DE LA PRODUCCIÓN Y DEL COMERCIO
"Lagos Weber, Ricardo",2015-07-06,30,Ex Congreso,Exponen sobre política educacional secundaria,"Salinas, Fabio; Villegas Herrera, Rodrigo",Fabio Salinas
"Rossi Ciocca, Fulvio",2015-07-06,15,senado Santiago,salud santiago,"Miralles Abarca, Claudia; Aguilar Belmar, Max; Correa González, Tomás",Consorcio de Salud Santiago Oriente S.A.
"Ossandón Irarrázabal, Manuel José",2015-07-06,60,Oficina Senador Ex Congreso - Morandé 441,"DAR A CONOCER LA PROBLEMATICA DE LA INSTALACION DEL PORTAL DE TAG EN LA COMUNA DE TILTIL, RUTA 5 NORTE.","LOPEZ, IVAN; GATICA, MARIA ANGELICA; Arnado Bastías, Francisco Alejandro; PARADA, OLGA",IVAN LOPEZ
"García Ruminot, José",2015-07-06,30,"Oficina del Senador Senado Santiago, Morande 441","Exponen inquietud respecto de los posibles efectos que podrían tener algunos aspectos de la reforma laboral a la hora 
de asegurar la continuidad de tratamiento de los pacientes que requieren de diálisis. 
Realizan sugerencias que podrían perfeccionar la normativa de manera de asegurar que la salud de los pacientes no se 
ponga en riesgo en la eventualidad de una huelga.","Del Solar Agüero, Felipe; Gutiérrez, Pablo; Alvo, Roberto; Miranda, Nelson",Asociación Gremial
"García Huidobro Sanfuentes, Alejandro",2015-07-06,45,MORANDE 441 EX CONGRESO NACIONAL,"e solicita esta reunión para los señores Thomas Keller, Gerente Genera y  y Juan Pablo Schaeffer, Gerente de División Desarrollo Sustentable de COLBÚN S.A., favor contactar a la secretaria de Gerencia General, Alejandra Parada en mail aparada@colbun.cl fono 224604102, muchas gracias.","Keller Lippold, Thomas; Schaeffer Fabres, Juan Pablo",Colbún S.A.
"Lagos Weber, Ricardo",2015-07-03,45,Oficina Distrital San Antonio,Exponen observaciones a proyecto de ley que moderniza las relaciones laborales,"Araya Valdebenito, Eduardo; Rodriguez Campos, Ricardo",Federación de sindicatos de trabajadores portuarios eventuales y contratados
"Ossandón Irarrázabal, Manuel José",2015-07-03,60,Club Providencia,SE ESCUCHARON LAS PROPUESTAS DEL SOLICITANTE,"Jeame Barrueto, Víctor",Asociación de Concesionarios de Transporte Urbano de Superficie
"Pérez Varela, Víctor",2015-07-03,60,Oficina parlamentaria,Situación delas profesionales y conflicto con enfermeros,"Lauriani, Antonieta; Cabezas, Carolina; Corces, Perla",Colegio de Matronas
"Montes Cisternas, Carlos",2015-07-03,180,Catedral 1158,"Sector expresa los reparos a normativa que les regula y manifiesta sus opiniones sobre la ley de aportes al espacio público.
Se les señala necesidad de un mayor aporte de este tipo de proyectos a la ciudad y de regular en mejor forma el suelo urbano.","Vergara Doxrud, Carlos; Domínguez VIal, Vicente",Asociación de Desarrollo Inmobiliario A.G.
"Ossandón Irarrázabal, Manuel José",2015-07-02,60,Oficina Parlamentaria Pasaje Luis Bascuñán 1858,NO SE REALIZÓ LA AUDIENCIA PORQUE LOS INTERESADOS LA CANCELARON,"Del Solar Agüero, Felipe; Gutiérrez, Pablo; Clavero, René; Alvo, Roberto",Asociación Gremial
"Girardi Lavín, Guido",2015-07-02,45,Senado Santiago,"Se expuso las estrategias viales que presenta Uber para Santiago, así como de las alternativas de transporte con Uber x y otras iniciativas que han llevado adelante en Latinoamerica y Estados Unidos","Del Solar Agüero, Felipe",
"Van Rysselberghe Herrera, Jacqueline",2015-07-02,60,"Sede parlamentaria, Angol N° 365",Proyecto de Ley de re encasillamiento y re adecuación de plantas de funcionarios municipales.,"villanueva tassara, victor; Acevedo Castro , esteban Bladimiro; merino, victor",Asoc. de Funcionarios
"Guillier Álvarez, Alejandro",2015-07-02,30,Ex congreso nacional,"Aspectos de estabilidad laboral Los Funcionarios del Ministerio Público cumplimos una función judicial, que en su momento fue dividida (investigar y sancionar) y es nuestra legítima aspiración el equipararnos a las prerrogativas de los funcionarios del Poder Judicial, sobre todo en lo que dice a la carrera funcionaria y estabilidad en el empleo. Desarrollamos labores muy similares con los funcionarios judiciales.","RUIZ TAPIA, PAULINA; Cruz Chavez, Miriam; VIvallos Aste, Cristian; Carvallo, Claudio; ARANCIBIA CONTRERAS, PAMELA; Melo Orellana, Leonardo",Federacion Nacional Funcioanrios Ministerio Pùblico
"Van Rysselberghe Herrera, Jacqueline",2015-07-02,45,"Sede parlamentaria, Angol N° 365",Plantear posición de la Asociación sobre le protocolo de acuerdo ASEMUCH-Gobierno e incremento previsional de funcionarios municipales.,"henriquez salas, claudio; ordenes olate, marioly; cifuentes morales, eduardo",
"Van Rysselberghe Herrera, Jacqueline",2015-07-02,60,"Sede parlamentaria, Angol N° 365",Situación contractual de las manipuladoras de alimentos en la provincia de Concepción.,"osses reyes, ana; paredes, margarita",Ana Osses
"Van Rysselberghe Herrera, Jacqueline",2015-07-02,90,"Sedel parlamentaria, Angol N° 365","Exponer la situación de los miembros de la agrupación, quienes presentan diversos síntomas de una posibles asbestosis, luego de trabajar en la termoeléctrica Bocamina I de Endesa en el retiro de asbesto.","gonzalez valencia, omar; espinoza zambrano, miriam; moreno, luis",Omar González Valencia
"Van Rysselberghe Herrera, Jacqueline",2015-07-01,25,Senado de la República,Plantear las inquietudes de la Asociación por la reforma laboral y los eventuales perjuicios que significaría para los pacientes que necesitan del tratamiento de diálisis.,"Del Solar Agüero, Felipe; Gutiérrez, Pablo; Clavero, René; Alvo, Roberto",Asociación Gremial
"Allende Bussi, Isabel",2015-07-01,60,"Senado Santiago, Morande 441 - Hora 11:15 Att. por asesor legislativo, Cristian Arancibia","Villa San Luis de Las Condes, un legado histórico y patrimonial del presidente Allende.-.","Díaz Lavanchy, Jaime",Jaime Díaz Lavanchy
"Ossandón Irarrázabal, Manuel José",2015-07-01,20,Cafeteria Senado en Valparaíso,Se escucharon las preocupaciones de la Asociacion por el retraso en el nombramientro del nuevo Contalor General de la Republica y además plantearon la situación del recinto deportivo de la Contraloría en la Región Metropolitana.,"Palacios Riquelme, Andrea; Navarrete Rojas, Javier; reyes valenzuela, rafael ; Camerati Acevedo, Yoanda",Asociación Nacional de Funcionarios de la Contraloría General
"De Urresti Longton, Alfonso",2015-07-01,30,Oficina del senador en el Congreso Nacional.,Asuntos gremiales que afectan y preocupan a los trabajadores de la Contraloría.,"Navarrete Rojas, Javier; Palacios Riquelme, Andrea; Camerati Acevedo, Yoanda; reyes valenzuela, rafael",Asociación Nacional de Funcionarios de la Contraloría General
"Rossi Ciocca, Fulvio",2015-06-30,15,Senado Valparaíso,alimentacion,"Schlesinger, Denise; Dorfman, Natalio; Fernández, Marlene",Arcos Dorados
"Goic Boroevic, Carolina",2015-06-30,20,Oficina parlamentaria en Punta Arenas - Chiloé 755,"La señora Sonia, concurrió a la oficina parlamentaria y fue atendida por Mauricio Tapia jefe de gabinete regional. La sra. solicito una gestión para con la municipalidad de Punta Arenas, esta con la finalidad de saber si ellos (municipalidad) son los dueños de un inmueble ubicado en la población Fermin Roca, que lleva mas de 20 años abandonado.","palma chavez, sonia del carmen",sonia palma chavez
